Symbol	Ensembl Transcript ID	CDS Length
HES4	ENST00000428771	744
IGFL1	ENST00000437936	333
CYP4F3	ENST00000586182	1563
TPX2	ENST00000340513	2352
FAM86B1	ENST00000533852	993
REM1	ENST00000201979	897
MMS22L	ENST00000275053	3732
C6orf168	ENST00000389677	1230
LY6G6C	ENST00000448386	378
ABCB6	ENST00000265316	2529
UXS1	ENST00000283148	1278
MB21D1	ENST00000370315	1569
SHC3	ENST00000375835	1785
FABP7	ENST00000356535	501
RNF19A	ENST00000519449	2517
GNB2	ENST00000303210	1023
TLX3	ENST00000296921	876
ABCG4	ENST00000307417	1941
CDY1B	ENST00000306882	1665
CCND2	ENST00000261254	870
FGF23	ENST00000237837	756
C10orf18	ENST00000328090	7293
GABRA5	ENST00000335625	1389
OR52B4	ENST00000408920	945
TIAF1	ENST00000359450	348
ZNF630	ENST00000409324	1974
C5orf55	ENST00000408966	360
CYP20A1	ENST00000429815	1413
HCG8	ENST00000552653	522
VAMP5	ENST00000306384	351
TMEM150A	ENST00000334462	816
RUNX3	ENST00000338888	1290
TMEM219	ENST00000566848	723
TAOK2	ENST00000308893	3708
FGFR1	ENST00000425967	2562
DDAH1	ENST00000284031	858
BPI	ENST00000262865	1464
CHMP4B	ENST00000217402	675
LGI4	ENST00000310123	1614
TGIF2	ENST00000373874	714
SH2D4A	ENST00000265807	1365
INTS10	ENST00000397977	2133
TBC1D22A	ENST00000337137	1554
GAGE12F	ENST00000440137	354
PFN3	ENST00000358571	414
PLXNB2	ENST00000449103	5517
OR5AC2	ENST00000358642	930
C1D	ENST00000407324	543
TBC1D9B	ENST00000356834	3753
COL4A3BP	ENST00000380494	2259
HMGCR	ENST00000511206	2667
PFKFB1	ENST00000375006	1416
SSH2	ENST00000540801	4353
AP1M1	ENST00000444449	1308
ZNF845	ENST00000595091	2913
MRVI1	ENST00000423302	2739
TMEM38A	ENST00000187762	900
AQP12B	ENST00000407834	924
ZNF479	ENST00000331162	1575
MICB	ENST00000436655	1152
PRKAG2	ENST00000287878	1710
NOTCH2NL	ENST00000362074	711
RHEB	ENST00000262187	555
SUPT4H1	ENST00000225504	354
RHOBTB2	ENST00000519685	2250
DLAT	ENST00000280346	1944
DIXDC1	ENST00000440460	2049
C16orf48	ENST00000243878	1041
DOCK1	ENST00000280333	5598
C12orf60	ENST00000330828	738
ATP6V1G3	ENST00000489986	375
NEK7	ENST00000367385	909
NUBPL	ENST00000281081	960
GATS	ENST00000436886	492
NDUFS4	ENST00000296684	528
PRKCH	ENST00000332981	2052
PCNX	ENST00000304743	7026
ILF2	ENST00000361891	1173
RIT1	ENST00000368322	711
ART5	ENST00000397068	876
INTS3	ENST00000318967	3129
ACAA2	ENST00000285093	1194
XIRP1	ENST00000340369	5532
C8orf22	ENST00000517663	255
PLD4	ENST00000540372	1542
IFNGR1	ENST00000367739	1470
LRRC31	ENST00000316428	1659
DEPDC1	ENST00000456315	2436
RAB40C	ENST00000248139	846
IL5RA	ENST00000446632	1263
HLF	ENST00000226067	888
CCDC15	ENST00000529051	2889
EI24	ENST00000278903	1020
B3GAT3	ENST00000265471	1008
TM4SF18	ENST00000296059	606
C17orf28	ENST00000425042	2367
ICT1	ENST00000301585	621
ATP5H	ENST00000301587	486
ITM2B	ENST00000378565	801
SFT2D3	ENST00000310981	648
ALKBH3	ENST00000302708	861
SENP8	ENST00000542035	639
NOLC1	ENST00000405356	2130
ZCCHC24	ENST00000372336	726
TP53TG3B	ENST00000569719	399
A4GNT	ENST00000236709	1023
EEF1G	ENST00000378019	1464
NUDC	ENST00000321265	996
YIPF3	ENST00000506469	1071
ZBTB10	ENST00000430430	2616
FABP9	ENST00000379071	399
KIAA1715	ENST00000544803	1380
UBA7	ENST00000333486	3039
ASB18	ENST00000409749	1401
HTR3A	ENST00000355556	1551
RGMA	ENST00000557301	1377
CASC4	ENST00000299957	1311
TSEN54	ENST00000333213	1581
ARHGAP27	ENST00000428638	2670
UROD	ENST00000246337	1104
TMEM17	ENST00000335390	597
RECK	ENST00000377966	2916
OR11H1	ENST00000252835	981
CLTA	ENST00000464497	783
RADIL	ENST00000399583	3228
OR13F1	ENST00000334726	960
TMEM192	ENST00000306480	816
WNT9B	ENST00000290015	1074
PRM3	ENST00000327157	309
EN2	ENST00000297375	1002
KCNK16	ENST00000425054	969
WDR6	ENST00000395474	3456
CDHR3	ENST00000317716	2658
PHKG1	ENST00000452681	1260
TGFBI	ENST00000442011	2052
FAM53C	ENST00000434981	1179
CSTF2T	ENST00000331173	1851
ETF1	ENST00000360541	1314
HRH1	ENST00000438284	1464
WNK3	ENST00000375159	5403
ACN9	ENST00000432641	378
MCHR1	ENST00000249016	1269
APOL3	ENST00000349314	1209
CDC42EP1	ENST00000249014	1176
SYNJ2	ENST00000355585	4491
CXorf66	ENST00000370540	1086
OR51H1P	ENST00000322059	909
C8orf4	ENST00000315792	321
OR51T1	ENST00000380378	1065
PNMA1	ENST00000316836	1062
MAMSTR	ENST00000318083	1248
RAB18	ENST00000423465	873
ACRV1	ENST00000533904	798
ANKRD57	ENST00000356454	1578
ZNF770	ENST00000356321	2076
KRT82	ENST00000257974	1542
OR2AP1	ENST00000321688	930
UBQLN1	ENST00000376395	1770
PSMB9	ENST00000422729	660
EDC4	ENST00000358933	4206
TSPAN17	ENST00000310032	999
TMEM20	ENST00000427197	1098
OR10C1	ENST00000455234	939
CYLD	ENST00000311559	2871
MCART6	ENST00000357421	924
TRIM41	ENST00000315073	1893
FAM193B	ENST00000514747	2469
HIGD2A	ENST00000274787	321
RFXAP	ENST00000255476	819
POSTN	ENST00000379747	2511
TPT1	ENST00000309246	567
STOML3	ENST00000379631	876
KIAA1704	ENST00000379151	1023
KL	ENST00000380099	3039
RFC3	ENST00000380071	1071
MRPL52	ENST00000355151	372
SMPDL3A	ENST00000368440	1362
LRRK2	ENST00000298910	7584
ARPC1A	ENST00000262942	1113
BSX	ENST00000343035	702
PCDH8	ENST00000377942	3213
NEK3	ENST00000452082	1533
FXR1	ENST00000357559	1866
KCTD3	ENST00000259154	2448
IL10	ENST00000423557	537
VPS45	ENST00000369130	1713
HLX	ENST00000366903	1467
EFNA2	ENST00000215368	642
ZNF287	ENST00000395824	2286
BHLHE22	ENST00000321870	1146
NDUFA9	ENST00000266544	1134
PSMG4	ENST00000419065	489
CLSTN3	ENST00000537408	2907
MNX1	ENST00000252971	1206
KLRG1	ENST00000266551	588
DROSHA	ENST00000511367	4125
CDH6	ENST00000265071	2373
LMNB1	ENST00000261366	1761
ARRDC3	ENST00000265138	1245
BTF3	ENST00000380591	621
SLC30A5	ENST00000396591	2298
FBXL17	ENST00000542267	2106
CCDC124	ENST00000445755	672
FAM187B	ENST00000324675	1110
MICALCL	ENST00000256186	2088
AMPD3	ENST00000396554	2331
LYVE1	ENST00000256178	969
AZIN1	ENST00000337198	1347
PITX3	ENST00000370002	909
CD160	ENST00000369288	546
RAB7L1	ENST00000367139	612
TXNIP	ENST00000369317	1176
TNKS2	ENST00000371627	3501
LAPTM4A	ENST00000175091	702
TYSND1	ENST00000287078	1701
ASB15	ENST00000451558	1767
SLC34A1	ENST00000324417	1920
F12	ENST00000253496	1848
PRR7	ENST00000323249	825
TMEM109	ENST00000227525	732
CCDC86	ENST00000227520	1083
PRPF19	ENST00000227524	1515
C22orf43	ENST00000317749	690
PNRC2	ENST00000334351	420
OR2B2	ENST00000303324	1074
EIF2S1	ENST00000256383	948
LHX9	ENST00000367387	1194
KCNJ4	ENST00000303592	1338
C6orf162	ENST00000229570	294
FAM18B1	ENST00000307767	618
SMOX	ENST00000305958	1668
SIGLEC1	ENST00000344754	5130
ZNF644	ENST00000370440	3984
IL7R	ENST00000303115	1380
ZNF600	ENST00000338230	2169
BTBD8	ENST00000342818	1137
P4HA3	ENST00000427714	1815
ZNF705D	ENST00000400085	903
STK24	ENST00000376547	1332
ACP5	ENST00000218758	978
SNRPG	ENST00000454893	291
ASXL2	ENST00000435504	4308
C14orf156	ENST00000557431	375
RBM25	ENST00000261973	2532
C12orf52	ENST00000552495	882
ALDH2	ENST00000261733	1554
CDKN1B	ENST00000396340	618
ACAD10	ENST00000455480	3273
PPT1	ENST00000433473	921
DPP9	ENST00000262960	2679
GJA9	ENST00000360786	1548
CAP1	ENST00000372797	1428
DPH2	ENST00000255108	1470
OXGR1	ENST00000298440	1014
GFRA1	ENST00000439649	1398
UCMA	ENST00000378681	417
ASIP	ENST00000568305	399
BEND7	ENST00000396900	1560
SREK1IP1	ENST00000513458	468
CPB1	ENST00000491148	1254
MYO1H	ENST00000431443	3099
CYP4A11	ENST00000371904	1563
TMEM216	ENST00000334888	447
PLCL1	ENST00000428675	3288
LSM3	ENST00000306024	309
ZADH2	ENST00000322342	1134
OR1E1	ENST00000322608	945
TMPRSS6	ENST00000406856	2475
MAPKAPK3	ENST00000446044	1149
ACVR2B	ENST00000352511	1539
CISH	ENST00000443053	828
HEMK1	ENST00000434410	1017
ASB11	ENST00000480796	972
CXorf38	ENST00000327877	960
XAGE2	ENST00000330906	336
FIGF	ENST00000297904	1065
PCDH19	ENST00000373034	3447
PIGA	ENST00000333590	1455
CLDN24	ENST00000541814	663
AS3MT	ENST00000369880	1128
GPC2	ENST00000292377	1740
KRT222	ENST00000394052	888
FAM46A	ENST00000369756	1572
MBNL2	ENST00000376673	1122
SAP30L	ENST00000297109	552
GALNT10	ENST00000297107	1812
WDR12	ENST00000261015	1272
ABI2	ENST00000295851	1542
ITGAV	ENST00000261023	3147
MRPL20	ENST00000482352	468
EIF3J	ENST00000261868	777
SPG11	ENST00000261866	7332
POP7	ENST00000303151	423
VMP1	ENST00000262291	1221
PRELID2	ENST00000334744	570
NAP1L3	ENST00000373079	1521
BACE1	ENST00000313005	1506
ZNF569	ENST00000392149	2061
NPIPL2	ENST00000429990	1332
EFNB2	ENST00000245323	1002
ASMT	ENST00000381241	1122
CRYBA4	ENST00000354760	591
SLC35C1	ENST00000314134	1095
INPP5D	ENST00000359570	3534
CHURC1	ENST00000552002	423
C21orf88	ENST00000380612	438
TMEM22	ENST00000446465	1239
ZNF608	ENST00000306315	4539
ENHO	ENST00000399775	231
FAM177B	ENST00000360827	477
DNM1P35	ENST00000543887	618
CXorf31	ENST00000377879	240
SPINK9	ENST00000511717	324
CYP21A2	ENST00000456152	1488
SATB1	ENST00000417717	2388
ABR	ENST00000302538	2580
ZYX	ENST00000322764	1719
SPO11	ENST00000371263	1191
ATP9A	ENST00000338821	3144
CLEC4G	ENST00000328853	882
DNTT	ENST00000371174	1530
CCNJ	ENST00000419934	1152
PPFIBP1	ENST00000318304	3036
PRPF40B	ENST00000380281	2616
CD69	ENST00000228434	600
ST7L	ENST00000358039	1728
TGFBR1	ENST00000552516	1524
HTT	ENST00000355072	9429
ZNF860	ENST00000360311	1899
LRRC68	ENST00000221462	2076
DACT3	ENST00000391916	1890
ADARB1	ENST00000496664	2226
ZNF434	ENST00000396852	2094
MIPOL1	ENST00000327441	1329
MBIP	ENST00000416007	1035
FBLN5	ENST00000267620	1470
SERPINA10	ENST00000554723	1455
SLC24A4	ENST00000532405	1869
AARS2	ENST00000244571	2958
PEX16	ENST00000241041	1041
UNC5CL	ENST00000373164	1557
TTC24	ENST00000368237	1749
CCDC157	ENST00000405659	2259
FAM122A	ENST00000394264	864
PALM3	ENST00000340790	2022
SEMA4B	ENST00000332496	2514
HEATR7B1	ENST00000389758	5031
TMEM190	ENST00000291934	534
COX6B2	ENST00000588572	267
MFGE8	ENST00000268150	1164
ZNF710	ENST00000268154	1995
KLHL23	ENST00000272797	1677
CERCAM	ENST00000372838	1788
DEFA1B	ENST00000382689	285
NKX3-2	ENST00000382438	1002
GNRHR2	ENST00000361928	879
C11orf31	ENST00000534355	369
DIO1	ENST00000361921	750
STK38L	ENST00000389032	1395
SACM1L	ENST00000389061	1764
TMEM178	ENST00000281961	894
SLC1A5	ENST00000542575	1626
DHODH	ENST00000219240	1188
NPTN	ENST00000345330	1197
B3GAT1	ENST00000537389	1044
CDK2	ENST00000553376	1041
MSC	ENST00000325509	621
LMO4	ENST00000370544	498
C6orf15	ENST00000427005	978
UGT1A9	ENST00000354728	1593
SHCBP1L	ENST00000367547	1962
NMNAT2	ENST00000287713	924
OR2H1	ENST00000377136	951
OR10C1	ENST00000391549	939
C10orf114	ENST00000377113	411
C10orf113	ENST00000534331	468
GABBR1	ENST00000377034	2886
MAS1L	ENST00000377127	1137
COL6A3	ENST00000295550	9534
UQCR10	ENST00000330029	192
LENEP	ENST00000368427	186
DCST1	ENST00000295542	2121
DCST2	ENST00000368424	2322
PRKAA2	ENST00000371244	1659
NOL9	ENST00000377705	2109
USP24	ENST00000294383	7863
PPAP2B	ENST00000371250	936
C6orf136	ENST00000549800	1491
ALDH1B1	ENST00000377698	1554
UNC13A	ENST00000428389	5376
FCHO1	ENST00000597512	2691
RABEP1	ENST00000546142	2589
MAP1S	ENST00000324096	3180
DGKI	ENST00000424189	3207
C3orf21	ENST00000310380	1182
SNURFL	ENST00000309296	283
DCUN1D5	ENST00000260247	714
YAP1	ENST00000282441	1515
C11orf70	ENST00000434758	804
ATP13A5	ENST00000342358	3657
TRIM29	ENST00000341846	1767
HSPA14	ENST00000378372	1530
ANAPC13	ENST00000510994	225
CHST9	ENST00000284224	1332
VIT	ENST00000379242	2082
PSMB10	ENST00000358514	822
AP4E1	ENST00000261842	3414
RSBN1	ENST00000261441	2409
EPHX3	ENST00000221730	1083
RPS8	ENST00000396651	627
ADAMTS4	ENST00000367996	2514
EPB49	ENST00000265800	1218
B4GALT3	ENST00000319769	1182
SLC4A1	ENST00000262418	2736
ACR	ENST00000216139	1266
PHTF2	ENST00000248550	2358
HSPA1B	ENST00000450744	1926
MED28	ENST00000503945	540
ITCH	ENST00000262650	2712
SERPINB9	ENST00000380698	1131
ARL6IP1	ENST00000304414	612
SMAGP	ENST00000380103	294
HLA-DMA	ENST00000440717	871
IRX1	ENST00000302006	1443
MED12L	ENST00000474524	6438
MYBPC3	ENST00000545968	3825
DDB2	ENST00000256996	1284
ACP2	ENST00000256997	1272
OR1L8	ENST00000304865	930
PPID	ENST00000307720	1113
HEATR7B2	ENST00000399564	4758
LRRC8D	ENST00000337338	2577
RSL1D1	ENST00000571133	1473
C2orf15	ENST00000424491	576
GRAMD4	ENST00000406902	1737
PCDHAC2	ENST00000289269	3024
RFESD	ENST00000380005	633
C9orf69	ENST00000418388	420
LPL	ENST00000311322	1428
UPRT	ENST00000373383	930
RBMX	ENST00000320676	1176
PDLIM4	ENST00000253754	993
KIF3A	ENST00000403231	2181
COL11A1	ENST00000358392	5457
SLC6A11	ENST00000254488	1899
SETD1A	ENST00000262519	5124
BCL7C	ENST00000572628	880
LOR	ENST00000368742	939
PRR9	ENST00000368744	351
SMC6	ENST00000381272	3354
C1orf204	ENST00000368102	708
CSN2	ENST00000353151	681
TPRG1	ENST00000433971	828
OR7D2	ENST00000344248	939
SEPT8	ENST00000378719	1452
NPTXR	ENST00000333039	1503
OR5M8	ENST00000327216	936
C12orf68	ENST00000316554	585
CDY2B	ENST00000544303	1668
LEAP2	ENST00000296877	234
ANKRD32	ENST00000265140	3177
ZIM3	ENST00000269834	1419
NCOA1	ENST00000406961	4326
OR1A1	ENST00000304094	930
C9orf142	ENST00000371620	615
MSH2	ENST00000233146	2805
SMG6	ENST00000263073	4260
EXOC5	ENST00000413566	2127
SPIC	ENST00000551346	747
GPR143	ENST00000380929	1275
ATAD1	ENST00000308448	1086
PGRMC1	ENST00000217971	588
CLTC	ENST00000269122	5028
STAMBPL1	ENST00000371927	1386
CH25H	ENST00000371852	819
LOXL4	ENST00000260702	2271
PBX2	ENST00000549406	1392
C11orf86	ENST00000308963	348
TNXB	ENST00000549232	12729
LIPM	ENST00000404743	1272
OR10C1	ENST00000428644	939
ZNRD1	ENST00000443494	381
PAPPA2	ENST00000367662	5376
TRPM5	ENST00000533060	3522
OSBPL9	ENST00000371710	2265
AVPI1	ENST00000370626	444
DDX43	ENST00000370336	1947
GNL1	ENST00000454829	1824
ATP5F1	ENST00000369722	771
WDR77	ENST00000235090	1029
IRX2	ENST00000382611	1416
DBC1	ENST00000373969	2286
C6orf127	ENST00000373861	366
RFPL4A	ENST00000434937	864
CLIC1	ENST00000425464	726
C12orf45	ENST00000552951	558
BTBD11	ENST00000280758	3315
TNFSF4	ENST00000281834	552
TIMM13	ENST00000215570	288
CDC34	ENST00000215574	711
TCF19	ENST00000441405	1038
PRRT4	ENST00000446477	2700
TFRC	ENST00000360110	2283
ACIN1	ENST00000262710	4026
YY1	ENST00000262238	1245
CCNB1IP1	ENST00000398160	834
TRIP11	ENST00000267622	5940
HLA-DRA	ENST00000411524	765
DOM3Z	ENST00000419797	1191
ANKAR	ENST00000520309	4305
INPP1	ENST00000322522	1200
EVX2	ENST00000308618	1431
DCDC5	ENST00000597505	5352
ZNF415	ENST00000448501	1812
PRKCDBP	ENST00000530979	882
CEACAM3	ENST00000357396	759
ZNHIT2	ENST00000310597	1212
PGK2	ENST00000304801	1254
OR8B12	ENST00000306842	933
DMRTA2	ENST00000418121	1629
CR2	ENST00000367057	3279
BRAP	ENST00000419234	1779
RPL30	ENST00000521291	348
KCNS2	ENST00000287042	1434
IQCJ-SCHIP1	ENST00000485419	1692
OR2AG2	ENST00000338569	951
RNF40	ENST00000324685	3006
WBP1	ENST00000393972	912
C16orf62	ENST00000438132	3159
SLC6A2	ENST00000219833	1887
RAPGEF4	ENST00000397081	3036
SCN1A	ENST00000303395	6030
PKP4	ENST00000389759	3579
C3orf20	ENST00000253697	2715
RFTN1	ENST00000334133	1737
CAPN7	ENST00000253693	2442
TBC1D5	ENST00000446818	2454
HACL1	ENST00000321169	1737
SH3BP5	ENST00000383791	1368
ZNF492	ENST00000456783	1596
KIAA1377	ENST00000263468	3354
DEFB108B	ENST00000328698	222
RNF141	ENST00000265981	693
HIST2H2AB	ENST00000331128	393
POU6F1	ENST00000389243	906
PDLIM5	ENST00000514743	1878
OTUD7B	ENST00000369135	2532
PDHA2	ENST00000295266	1167
KIR2DL4	ENST00000396289	1194
DCAF4L1	ENST00000333141	1191
GBP2	ENST00000464839	1776
WDR63	ENST00000294664	2676
C1orf52	ENST00000471115	549
AKNAD1	ENST00000370001	2511
FCN2	ENST00000291744	942
SPRED3	ENST00000587013	1365
TMEM198	ENST00000344458	1083
BCL2L15	ENST00000393316	492
BEAN1	ENST00000536005	780
C8orf33	ENST00000331434	690
ABCC6	ENST00000205557	4512
WDR75	ENST00000314761	2493
MRPL19	ENST00000393909	879
LANCL1	ENST00000443314	1200
FAM176A	ENST00000393913	459
ACADL	ENST00000233710	1293
POLR3D	ENST00000306433	1197
FEN1	ENST00000305885	1143
SDPR	ENST00000304141	1278
PHYHIP	ENST00000321613	993
CCDC110	ENST00000510617	2511
FAM151A	ENST00000302250	1758
ACOT11	ENST00000371316	1824
ADAM23	ENST00000264377	2499
PARS2	ENST00000371279	1428
C1orf177	ENST00000371273	1257
EEF1B2	ENST00000236957	678
HOXB6	ENST00000484302	675
MED13	ENST00000397786	6525
ENO3	ENST00000323997	1305
DST	ENST00000370754	23253
BEND6	ENST00000370746	840
PFN1	ENST00000572383	497
ACTR3	ENST00000263238	1257
NKX6-2	ENST00000368592	834
BRCA2	ENST00000380152	10257
RCC1	ENST00000373831	1359
CELA1	ENST00000293636	777
C8orf42	ENST00000523656	597
ZBTB32	ENST00000392197	1464
DTYMK	ENST00000305784	639
NTF3	ENST00000423158	813
UBE2L3	ENST00000458578	639
ZFP36L1	ENST00000439696	1017
BRWD1	ENST00000333229	6963
TMEM87B	ENST00000283206	1668
MYL9	ENST00000279022	519
HCK	ENST00000375852	1581
TM9SF4	ENST00000398022	1929
C20orf160	ENST00000300415	1716
PLCB4	ENST00000378501	3585
PRKRA	ENST00000325748	942
INTS8	ENST00000523731	2988
FREM1	ENST00000380881	6543
KIAA1429	ENST00000297591	5439
ZNF709	ENST00000397732	1926
GEM	ENST00000396194	891
ANKRD46	ENST00000520552	699
CYP2R1	ENST00000334636	1506
LRRC70	ENST00000334994	1869
ARGFX	ENST00000334384	948
SLC10A3	ENST00000393586	1599
HIST2H2AA3	ENST00000369161	393
C10orf120	ENST00000329446	1008
IL1RAP	ENST00000317757	2064
ZNF724P	ENST00000418100	1860
NCDN	ENST00000356090	2190
IFNA14	ENST00000380222	570
HLA-DRB1	ENST00000553034	891
MRPS17	ENST00000285298	393
C1orf64	ENST00000329454	510
CDK19	ENST00000368911	1509
GTF3C6	ENST00000329970	642
MED8	ENST00000290663	906
MLYCD	ENST00000262430	1482
SMOC1	ENST00000361956	1308
CCDC51	ENST00000395694	1236
CTR9	ENST00000361367	3522
ATRIP	ENST00000320211	2376
SEPX1	ENST00000399753	681
SPRY1	ENST00000339241	960
C16orf79	ENST00000562360	783
GALR2	ENST00000329003	1164
LRRTM3	ENST00000361320	1746
SLC5A1	ENST00000266088	1995
FRMD4A	ENST00000357447	3120
ASB16	ENST00000293414	1362
BCKDHB	ENST00000320393	1179
PPAPDC3	ENST00000372264	816
OR5M10	ENST00000526812	948
ZNF526	ENST00000301215	2013
C3orf74	ENST00000541313	492
REPS2	ENST00000357277	1983
TBCEL	ENST00000529397	1275
WDR76	ENST00000263795	1881
CCDC71	ENST00000321895	1404
C10orf71	ENST00000374144	4308
PHB	ENST00000300408	819
GNGT2	ENST00000503070	267
B4GALNT2	ENST00000300404	1701
PBX3	ENST00000373487	1368
SNRPD1	ENST00000300413	360
AKTIP	ENST00000300245	882
MAPRE2	ENST00000300249	984
C21orf63	ENST00000300255	1326
ATP6V1G2	ENST00000441959	357
DCAF16	ENST00000382247	651
CRYGC	ENST00000282141	525
FZD5	ENST00000295417	1758
FAM156B	ENST00000452154	642
ZCCHC5	ENST00000321110	1428
TRAF2	ENST00000359662	1662
DTNBP1	ENST00000355917	1059
KIAA0556	ENST00000261588	4857
NMT1	ENST00000592782	1491
MYCBPAP	ENST00000323776	2955
CPT2	ENST00000371486	1977
RSAD1	ENST00000258955	1329
FDX1	ENST00000260270	555
PPP2R1B	ENST00000311129	2004
RDX	ENST00000530749	1815
AMOTL1	ENST00000433060	2871
C10orf28	ENST00000298999	2337
ZNF331	ENST00000253144	1392
SV2C	ENST00000502798	2184
TRAM1	ENST00000262213	1125
MGAT5B	ENST00000428789	2406
C9orf118	ENST00000375325	210
C3orf24	ENST00000524279	534
BTBD17	ENST00000375366	1437
CD300LD	ENST00000375352	585
STK19	ENST00000375333	1107
DOM3Z	ENST00000337523	1191
DAXX	ENST00000399344	2223
CRELD1	ENST00000326434	1269
IL17RC	ENST00000295981	2376
C17orf50	ENST00000285023	525
DPCR1	ENST00000416153	1524
SLFN13	ENST00000285013	2694
AHCYL2	ENST00000325006	1836
XPC	ENST00000285021	2823
ZFYVE28	ENST00000290974	2664
TMEM229A	ENST00000455783	1143
MOSPD2	ENST00000380492	1557
DOCK6	ENST00000294618	6144
ECSIT	ENST00000270517	1296
ATP1B2	ENST00000250111	873
FXR2	ENST00000250113	2022
LY6G6F	ENST00000453044	894
LPHN1	ENST00000340736	4425
VDR	ENST00000550325	1434
PCDHB10	ENST00000239446	2403
LPAR3	ENST00000440886	1062
PCDHB12	ENST00000239450	2388
SLC25A2	ENST00000239451	906
LTV1	ENST00000367576	1428
MAP7	ENST00000454590	2316
RETSAT	ENST00000295802	1833
TROAP	ENST00000551245	2607
ZFYVE16	ENST00000338008	4620
C3orf33	ENST00000340171	885
SH3BGRL2	ENST00000369838	324
RTP2	ENST00000358241	678
PMPCA	ENST00000371717	1578
ZNF280B	ENST00000406426	1632
RAX	ENST00000334889	1041
CAPRIN1	ENST00000341394	2130
CNTD1	ENST00000588408	993
OR4X1	ENST00000320048	918
DCAF4L2	ENST00000319675	1188
ZNF189	ENST00000339664	1881
ALDOB	ENST00000374855	1095
PRPF4	ENST00000374198	1569
STX17	ENST00000259400	909
FPGS	ENST00000373247	1764
USP20	ENST00000372429	2745
S1PR1	ENST00000305352	1149
DCUN1D4	ENST00000451288	1011
AGFG2	ENST00000300176	1446
DCUN1D3	ENST00000324344	915
HNF1B	ENST00000225893	1674
C6orf35	ENST00000400788	426
TMEM167B	ENST00000338272	225
POLR2I	ENST00000221859	378
SHD	ENST00000543264	1023
FSD1	ENST00000221856	1491
TBCB	ENST00000221855	735
C19orf73	ENST00000408991	390
PPP2R2A	ENST00000315985	1374
OR2F2	ENST00000408955	954
LOXL2	ENST00000389131	2325
APOBEC3F	ENST00000308521	1122
MKRN1	ENST00000255977	1449
C6orf192	ENST00000275227	1371
C13orf34	ENST00000390667	1680
NUP160	ENST00000378460	4311
TXNL4A	ENST00000269601	429
IGFBP4	ENST00000269593	777
STAC2	ENST00000333461	1236
IFNA7	ENST00000239347	570
FKBP10	ENST00000321562	1749
SMAD6	ENST00000288840	1491
C19orf42	ENST00000487803	312
SMAP1	ENST00000370455	1404
ACOT13	ENST00000230048	423
RPS12	ENST00000230050	399
VNN2	ENST00000326499	1563
IPCEF1	ENST00000422970	1317
PFN2	ENST00000423691	567
B3GAT2	ENST00000230053	972
C6orf62	ENST00000378119	690
NUP37	ENST00000552283	981
MCAM	ENST00000264036	1941
CYP2W1	ENST00000308919	1473
SCARB1	ENST00000415380	1659
PGA3	ENST00000325558	1167
NHLRC2	ENST00000369301	2181
HIST1H2AD	ENST00000341023	393
ZFP28	ENST00000301318	2607
TOMM20L	ENST00000360945	459
RGPD4	ENST00000354986	5301
C20orf107	ENST00000371325	516
CAMK2G	ENST00000423381	1767
KCTD17	ENST00000403888	966
UPK3A	ENST00000216211	864
SLC25A17	ENST00000435456	924
LATS2	ENST00000382592	3267
RABL2A	ENST00000409875	717
TIRAP	ENST00000392678	708
SLC20A1	ENST00000272542	2040
PLEKHH1	ENST00000329153	4095
ATG10	ENST00000282185	663
C6orf27	ENST00000452329	2676
CENPW	ENST00000368325	312
ZNF689	ENST00000287461	1503
C17orf76	ENST00000470794	1035
PRR14	ENST00000300835	1758
OFCC1	ENST00000460363	1440
TCEAL7	ENST00000332431	303
CEP72	ENST00000264935	1944
NUDT12	ENST00000230792	1389
C11orf54	ENST00000331239	948
ELSPBP1	ENST00000339841	672
RNASE3	ENST00000304639	483
PTK2	ENST00000517887	3291
SLC1A2	ENST00000278379	1725
ABHD12	ENST00000376542	1215
PYGB	ENST00000216962	2532
TRPC4AP	ENST00000252015	2394
UBE2R2	ENST00000263228	717
OR2M2	ENST00000359682	1044
ZNF461	ENST00000588268	1692
CEP128	ENST00000555265	3285
SIX4	ENST00000216513	2346
NOL3	ENST00000564053	813
EPS8	ENST00000543523	2469
CDH11	ENST00000268603	2391
ACAD8	ENST00000281182	1248
CMTM2	ENST00000268595	747
ADAMTS3	ENST00000286657	3618
BIRC8	ENST00000426466	711
TIMP1	ENST00000377018	786
BBS5	ENST00000554017	1635
XIRP2	ENST00000409195	10650
NOP10	ENST00000328848	195
MAP3K8	ENST00000375328	1404
OBFC1	ENST00000224950	1107
LUZP1	ENST00000302291	3231
SCGB1D1	ENST00000306238	273
HEXIM2	ENST00000307275	861
C14orf182	ENST00000399206	324
CTAGE4	ENST00000486333	2334
IFT46	ENST00000264020	1068
TREH	ENST00000264029	1749
RBMY1D	ENST00000382680	1491
TRIM27	ENST00000431123	1542
KCND2	ENST00000331113	1893
CPSF2	ENST00000298875	2349
C12orf70	ENST00000535986	1032
SS18L1	ENST00000370848	1200
BST1	ENST00000382346	1002
KRTAP12-1	ENST00000391617	291
LCE4A	ENST00000368777	300
LCE2A	ENST00000368779	321
ATP1A4	ENST00000368081	3090
ANXA8L2	ENST00000374277	984
VSIG10L	ENST00000335624	2604
CEP250	ENST00000397527	7329
MKS1	ENST00000393119	1680
TFCP2L1	ENST00000263707	1440
